Id	Sire	Dam	Sex	Birth	Death	Departure
10549	7084	7691	Male	1979-07-07		1981-08-03 00:00
10550	9022	8494	Female	1979-07-09	1992-04-08	
10551		8988	Female	1979-07-01	1980-07-22	
10553	5302	9521	Male	1979-07-13	1990-06-13	
10554	9022	8364	Male	1979-07-16		1984-05-31 00:00
10556	6982	9091	Male	1979-07-22	1989-07-12	
10557			Male	1979-03-22	1979-07-28	
1056			Male		1972-04-04	
10560	1821	7171	Male	1979-08-07		1984-05-30 00:00
10561			Female	1979-05-25	1979-08-10	
10562		5589	Male	1979-04-14		1980-09-10 00:00
10563		7173	Male	1979-07-01		1980-09-10 00:00
10564		5522	Female	1979-04-14		1990-02-20 00:00
10565		7217	Male	1979-03-31		1980-09-10 00:00
10566		4988	Male	1979-03-31		1980-09-10 00:00
10567		5580	Male	1979-03-31		1980-09-10 00:00
10568		5358	Male	1979-03-31		1980-09-10 00:00
10569		6530	Female	1979-07-31		1986-12-08 00:00
1057			Male		1982-03-22	
10570	5842	7999	Female	1979-04-14	2007-06-22	
10571		7219	Female	1979-03-31	1989-01-04	
10572		5523	Female	1979-03-31	1992-08-05	
10573		5446	Male	1979-03-31		1980-09-10 00:00
10574		6523	Male	1979-03-31	1979-09-23	
10575		6519	Female	1979-03-31		1995-07-17 00:00
10576		7225	Male	1979-03-31	1979-11-20	
10577		8644	Female	1979-03-31	1990-09-12	
10578		6017	Male	1979-03-14		1980-09-10 00:00
10579		7227	Male	1979-03-14		1980-09-10 00:00
1058			Male		1980-11-29	
10580		6036	Female	1979-03-31	2009-04-27	
10581		7175	Female	1979-07-31		1990-09-11 00:00
10582		6939	Female	1979-03-31		1991-02-06 00:00
10583		6512	Male	1979-03-31	1979-10-26	
10584		7248	Male	1979-07-14		1980-09-10 00:00
10585		7997	Female	1979-06-01		1990-09-11 00:00
10586		7992	Female	1979-03-14	1986-11-09	
10587		8009	Female	1979-03-14		1990-11-06 00:00
10588		6534	Male	1979-03-31		1984-05-31 00:00
10589		5483	Female	1979-03-31	1993-02-03	
1059			Female		1969-11-04	
10590		6524	Female	1979-03-31	1991-12-30	
10591		6513	Male	1979-03-31	2001-11-16	
10592		7983	Female	1979-03-31		1990-02-20 00:00
10593			Female	1978-09-01	1988-06-07	
10596		8633	Male	1979-06-08		1984-05-31 00:00
10597		8614	Male	1979-05-22	1979-09-13	
10598		8632	Female	1979-03-22	2000-05-15	
10599		8457	Female	1979-06-08	1984-06-11	
106			Female		1969-05-15	
1060			Female		1965-04-08	
10600			Male	1978-07-22	2007-08-02	
10601		8458	Male	1979-05-22		1984-06-06 00:00
10602		8373	Female	1979-05-08	1994-04-20	
10603		8717	Female	1979-05-22	1998-10-15	
10604		7244	Female	1979-03-22	1988-04-10	
10605		8613	Male	1979-05-08		1980-09-10 00:00
10606		8612	Female	1979-06-08	1995-10-10	
10607		8709	Female	1979-06-22	1980-10-06	
10608		8626	Female	1979-05-08	2010-02-12	
10609		8715	Male	1979-06-08		1980-09-03 00:00
1061			Male		1985-01-08	
10610		8620	Male	1979-05-22		1980-09-03 00:00
10611		8372	Male	1979-04-22		1980-09-10 00:00
10612		8707	Female	1979-07-08	1985-06-14	
10613		8615	Male	1979-03-22		1980-09-10 00:00
10614			Male	1979-03-22		1980-09-03 00:00
10615			Female	1979-01-22	1982-03-13	
10616		8624	Male	1979-04-22		1980-09-10 00:00
10617		8627	Female	1979-04-22	1982-05-01	
10618		8622	Male	1979-03-22		1980-09-10 00:00
10619		8722	Female	1979-05-22	1985-06-24	
1062			Male		1978-02-22	
10620		8725	Female	1979-06-08	1982-03-22	
10621		8712	Male	1979-05-08		1980-09-10 00:00
10622		8336	Male	1979-03-22		1980-09-10 00:00
10623		8611	Female	1979-06-08	1982-03-21	
10624		8721	Male	1979-05-08		1980-09-10 00:00
10625		8710	Female	1979-05-22		1986-12-08 00:00
10626		8597	Male	1979-08-01		1980-09-03 00:00
10627			Male	1979-03-22		1980-09-10 00:00
10628		8608	Female	1979-07-08	1984-10-19	
10629		8625	Male	1979-04-22		1980-09-10 00:00
1063			Male		1964-01-17	
10630		8436	Female	1979-03-22		1991-12-18 00:00
10631		8629	Female	1979-02-22	1981-07-10	
10632	2167	9139	Male	1979-09-04	1979-09-04	
10637	6927	2567	Female	1979-09-10	1979-09-10	
10638	7083	9461	Male	1979-09-14	1979-09-14	
1064			Female		1968-06-28	
1065			Male		1977-04-25	
1066			Female		1966-01-18	
1067			Male		1975-03-20	
1068			Male		1984-05-15	
10682		6998	Male	1979-09-18		1981-08-03 00:00
1069			Male			1991-04-03 00:00
107			Female		1974-04-04	
1070			Male		1964-01-13	
1071			Male		1990-03-14	
1072			Male		1964-02-25	
10724	1703	8441	Female	1979-09-19	1979-09-19	
10727	7083	6987	Female	1979-09-26	1995-08-09	
10728	6927	9383	Male	1979-09-28	1979-09-28	
10729	1182	9002	Female	1979-10-01	1979-10-21	
1073			Male		1978-09-29	
10730	2700	6748	Unknown	1979-09-30	1979-09-30	
1074			Male		1964-01-02	
10745	8108	9126	Female	1979-10-11	1979-10-11	
10746	7838	7172	Male	1979-10-12	1979-10-15	
10747	498	8367	Unknown	1979-10-12	1979-10-12	
10749	2700	8969	Unknown	1979-10-14	1979-10-14	
1075			Male		1986-11-04	
10752	2167	6126	Male	1979-10-20		1981-08-03 00:00
10753			Unknown	1979-10-26	1979-10-26	
10759			Male	1979-11-02	1979-11-02	
10760	1182	8508	Unknown	1979-10-29	1979-10-29	
10761	1703	6039	Male	1979-11-06	1980-07-05	
10762			Male	1979-08-06	1979-11-06	
1077	498	476	Male	1963-12-31	1964-03-01	
10780	1175	9348	Male	1979-11-21	1979-11-21	
10781	2816	6840	Male	1979-11-26	1979-11-26	
10782	5302	5994	Female	1979-11-30	1979-11-30	
10804			Unknown	1979-12-03	1979-12-03	
10806	2167	9152	Male	1979-12-17	1979-12-17	
10808	3941	9071	Male	1979-12-20	1979-12-20	
10809		8325	Male	1979-12-25	1979-12-25	
1081	585	122	Female	1964-01-07	1979-05-24	
10812			Male	1979-12-16	1979-12-31	
10813			Unknown	1979-12-31	1979-12-31	
10814	1703	7735	Unknown	1979-12-27	1979-12-27	
10815			Female	1980-01-03	1980-01-03	
10816	1401	9082	Unknown	1980-01-04	1980-01-04	
10817			Unknown	1980-01-07	1980-01-07	
10819			Female	1980-01-14	1980-01-14	
1082	580	320	Male	1964-01-09	1994-02-14	
10821	2167	9300	Female	1980-01-21	1980-01-21	
10823			Unknown	1980-01-25	1980-01-25	
10824	498	8959	Male	1980-01-25	1980-01-25	
10825	6927	3161	Male	1980-01-28	1980-01-28	
10826	5302	8405	Female	1980-01-29	1980-01-29	
10827	6080	8970	Female	1980-01-30	1980-01-30	
10828		8321	Female	1980-01-30		1989-04-04 00:00
10830	1703	9302	Female	1980-01-31	1980-01-31	
10835	498	9356	Male	1980-02-08	1980-02-08	
10836			Female	1980-02-08	1980-02-08	
10837	6982	8943	Male	1980-02-18	1980-02-24	
10838	1401	8394	Male	1980-02-19	1980-02-19	
10839			Female	1980-02-19	1980-02-19	
10840			Male	1980-02-19	1980-02-19	
10841	2167	9133	Female	1980-02-20	1980-02-20	
10842			Unknown	1980-02-20	1980-02-20	
10843	3941	9350	Male	1980-02-21	1980-02-21	
10844	1401	9351	Male	1980-02-21	1980-02-21	
10845			Female	1980-02-25	1980-02-25	
10847	2700	9087	Female	1980-02-26	1980-02-26	
10848	2700	8993	Female	1980-03-03	1990-08-24	
10852			Male	1980-03-07	1980-03-07	
10856			Male	1980-03-12	1980-03-12	
10857			Female	1980-03-13	1980-03-13	
10858			Male	1980-03-13	1980-03-13	
10860	5951	8399	Unknown	1980-03-14	1980-03-14	
10862		9062	Male	1980-03-14	1980-03-14	
10863			Female	1980-03-14	1980-03-14	
10864			Female	1980-03-14	1980-03-14	
10865			Unknown	1980-03-15	1980-03-15	
10868			Female	1980-03-18	1980-03-18	
10869			Male	1980-03-19	1980-03-19	
1087	498	441	Male	1964-01-13	1964-03-01	
10872			Female	1980-03-21	1980-03-23	
10873			Female	1980-03-24	1980-03-24	
10874	5951	8581	Male	1980-03-24	1980-03-24	
10875	9022	9096	Male	1980-03-25	1980-03-25	
10877	6080	8980	Male	1980-03-26		1981-08-03 00:00
10878	5479	8517	Female	1980-03-26	1980-03-26	
10879	5493	9059	Male	1980-03-30		1982-07-12 00:00
10882	5951	6154	Male	1980-03-30	1980-03-30	
10883			Unknown	1980-03-31	1980-03-31	
10889	1703	9057	Unknown	1980-04-02	1980-04-02	
10890	3225	2550	Female	1980-04-01	1980-04-01	
10891			Unknown	1980-04-02	1980-04-02	
10892	2167	7250	Female	1980-04-03		1982-07-12 00:00
10893	5951	8583	Male	1980-04-02	1980-04-02	
10895	1821	9153	Female	1980-04-05	1980-04-06	
10896			Male	1980-04-06	1980-04-06	
10897	1821	8371	Female	1980-04-07		1982-07-12 00:00
1090	580	316	Female	1964-01-16	1978-11-14	
10900	6080	9050	Male	1980-04-09	1980-04-09	
10904	5493	8972	Female	1980-04-10		1982-07-19 00:00
10906			Unknown	1980-04-10	1980-04-10	
10907			Male	1980-04-10	1980-04-10	
1091	498	442	Female	1964-01-17		1992-06-03 00:00
10911	5951	9092	Male	1980-04-13		1981-11-04 00:00
10913	5493	7260	Female	1980-04-14		1982-07-19 00:00
10918			Female	1980-04-15	1980-04-15	
10919			Unknown	1980-04-16	1980-04-16	
10920	1703	2368	Male	1980-04-17	1980-04-17	
10922	2167	8454	Male	1980-04-17	1980-04-17	
10923			Unknown	1980-04-18	1980-04-18	
10924	3941	4529	Male	1980-04-19		1982-07-12 00:00
10925	5493	8949	Male	1980-04-20		1982-07-19 00:00
10931			Female	1980-04-21	1980-04-21	
10932	7838	9135	Male	1980-04-22		1982-07-19 00:00
10934	2167	9127	Female	1980-04-23	1980-04-23	
10936	5951	8479	Female	1980-04-23	1980-10-20	
10938		7208	Female	1980-04-24		1989-04-04 00:00
10939	3941	6949	Male	1980-04-24	1980-04-24	
10940			Female	1980-04-24	1980-04-24	
10942			Female	1980-04-25	1980-04-25	
10943		8064	Female	1980-04-25		1990-06-12 00:00
10944			Female	1980-04-26	1980-04-26	
10945	5479	8393	Male	1980-04-27		1982-07-19 00:00
10947			Female	1980-04-27	1980-04-27	
10950	3225	9150	Female	1980-04-28	1980-04-28	
10951			Unknown	1980-04-28	1980-04-28	
10952			Unknown	1980-04-28	1980-04-28	
10955			Female	1980-04-29	1980-04-29	
10956	7084	7691	Female	1980-04-29	1980-04-29	
10958	8108	8981	Male	1980-05-01	1980-05-01	
10965	3941	8328	Female	1980-05-04		1989-04-04 00:00
10966	6080	8490	Male	1980-05-05		1989-12-06 00:00
10970	8108	9309	Female	1980-05-07	1980-05-07	
10975	6080	6141	Male	1980-05-08	1980-05-08	
10976			Male	1980-05-08	1980-05-08	
10977	3941	9032	Female	1980-05-08	1980-05-08	
10978	3225	8320	Male	1980-05-09	1980-05-09	
10980		9072	Female	1980-05-09	1980-05-09	
10981	1182	6910	Male	1980-05-11		1981-11-04 00:00
10982	7838	9098	Male	1980-05-11		1981-08-03 00:00
10988	1401	9083	Female	1980-05-13	1980-05-13	
10989	5302	9123	Female	1980-05-13	1980-05-13	
10992	5951	8951	Female	1980-05-15	1994-09-28	
10993	2167	9034	Female	1980-05-15	1980-05-15	
11001			Female	1980-05-16	1980-05-16	
11003	7083	9352	Male	1980-05-19	1980-05-19	
11004	7838	9521	Female	1980-05-20	1980-05-20	
11009	5479	9136	Male	1980-05-24	1980-05-24	
