Id,Sire,Sire Type,Dam,Dam Type,Sex,Number of Parents Known,Birth,Arrival At Center,Death,Departure,Status,ancestry,From Center?,Origin
546,,,175,Observed,Female,1,1981-05-23,1981-05-23,1999-05-10,,Dead,Japan,TRUE,
547,,,226,Observed,Male,1,1981-07-11,1981-07-11,1997-10-22,,Dead,Japan,TRUE,
548,,,119,Observed,Female,1,1981-05-05,1981-05-05,1993-11-03,,Dead,Japan,TRUE,
549,,,190,Observed,Male,1,1981-05-05,1981-05-05,,1982-04-27,Shipped,Japan,TRUE,
550,,,80,Observed,Male,1,1981-04-17,1981-04-17,1986-05-06,,Dead,Japan,TRUE,
551,,,100,Observed,Unknown,1,1981-05-08,1981-05-08,1981-05-08,,Dead,Japan,TRUE,
552,,,165,Observed,Female,1,1981-05-08,1981-05-08,,1982-04-27,Shipped,Japan,TRUE,
553,,,234,Observed,Unknown,1,1981-05-09,1981-05-09,1981-05-09,,Dead,Japan,TRUE,
554,,,,,Unknown,0,1981-05-12,1981-05-12,,1982-04-27,Shipped,Japan,TRUE,
555,,,184,Observed,Male,1,1981-05-13,1981-05-13,,1982-04-27,Shipped,Japan,TRUE,
556,,,277,Observed,Unknown,1,1981-05-13,1981-05-13,,1982-04-27,Shipped,Japan,TRUE,
557,,,296,Observed,Female,1,1981-05-13,1981-05-13,1981-06-26,,Dead,Japan,TRUE,
558,,,12,Observed,Male,1,1981-05-16,1981-05-16,,1982-04-27,Shipped,Japan,TRUE,
559,,,192,Observed,Female,1,1981-05-17,1981-05-17,1986-04-30,,Dead,Japan,TRUE,
560,,,290,Observed,Male,1,1981-05-18,1981-05-18,,1982-04-27,Shipped,Japan,TRUE,
561,,,252,Observed,Female,1,1981-05-17,1981-05-17,,1982-04-27,Shipped,Japan,TRUE,
562,,,188,Observed,Female,1,1981-03-25,1981-03-25,1986-07-01,,Dead,Japan,TRUE,
563,,,6,Observed,Unknown,1,1981-05-21,1981-05-21,1981-07-08,,Dead,Japan,TRUE,
564,,,84,Observed,Male,1,1981-05-24,1981-05-24,,1982-04-27,Shipped,Japan,TRUE,
565,,,282,Observed,Female,1,1981-05-28,1981-05-28,1985-10-16,,Dead,Japan,TRUE,
566,,,,,Female,0,1981-05-25,1981-05-25,,1982-04-27,Shipped,Japan,TRUE,
567,,,300,Observed,Male,1,1981-05-27,1981-05-27,,1982-04-27,Shipped,Japan,TRUE,
568,,,155,Observed,Female,1,1981-05-26,1981-05-26,1981-06-28,,Dead,Japan,TRUE,
569,,,74,Observed,Female,1,1981-05-28,1981-05-28,1981-08-15,,Dead,Japan,TRUE,
570,,,,,Unknown,0,1981-05-28,1981-05-28,,1982-04-27,Shipped,Japan,TRUE,
571,,,72,Observed,Unknown,1,1981-05-28,1981-05-28,,1982-04-27,Shipped,Japan,TRUE,
572,,,345,Observed,Female,1,1981-06-02,1981-06-02,,1982-04-27,Shipped,Japan,TRUE,
573,,,85,Observed,Female,1,1981-04-21,1981-04-21,1994-07-06,,Dead,Japan,TRUE,
574,,,299,Observed,Male,1,1981-06-04,1981-06-04,1981-06-10,,Dead,Japan,TRUE,
575,,,,,Unknown,0,1981-06-07,1981-06-07,1981-06-07,,Dead,Japan,TRUE,
576,,,,,Female,0,1981-05-24,1981-05-24,,1982-04-27,Shipped,Japan,TRUE,
577,,,322,Observed,Male,1,1981-06-09,1981-06-09,,1982-04-27,Shipped,Japan,TRUE,
578,,,76,Observed,Female,1,1981-04-13,1981-04-13,1995-12-15,,Dead,Japan,TRUE,
579,,,130,Observed,Female,1,1981-06-10,1981-06-10,,1982-04-27,Shipped,Japan,TRUE,
580,,,319,Observed,Male,1,1981-06-11,1981-06-11,1989-07-12,,Dead,Japan,TRUE,
581,,,,,Male,0,1981-06-28,1981-06-28,,1982-04-27,Shipped,Japan,TRUE,
582,,,,,Female,0,1981-06-29,1981-06-29,,1982-04-27,Shipped,Japan,TRUE,
583,,,16,Observed,Female,1,1981-07-07,1981-07-07,,1982-04-27,Shipped,Japan,TRUE,
584,,,,,Female,0,1981-07-11,1981-07-11,,1982-04-27,Shipped,Japan,TRUE,
4,,,,,Male,0,,1964-05-04,1980-10-20,,Dead,Japan,FALSE,
585,,,83,Observed,Unknown,1,1981-07-14,1981-07-14,1981-07-14,,Dead,Japan,TRUE,
586,,,323,Observed,Female,1,1981-07-25,1981-07-25,,1982-04-27,Shipped,Japan,TRUE,
5,,,,,Female,0,,1964-05-04,,1976-11-03,Shipped,Japan,FALSE,
587,,,207,Observed,Female,1,1981-08-05,1981-08-05,,1982-04-27,Shipped,Japan,TRUE,
588,,,135,Observed,Male,1,1981-05-12,1981-05-12,1984-12-27,,Dead,Japan,TRUE,
589,,,262,Observed,Unknown,1,1982-02-16,1982-02-16,1982-04-13,,Dead,Japan,TRUE,
590,,,233,Observed,Unknown,1,1982-02-19,1982-02-19,1982-02-23,,Dead,Japan,TRUE,
591,,,51,Observed,Unknown,1,1982-02-26,1982-02-26,1982-02-26,,Dead,Japan,TRUE,
592,,,63,Observed,Female,1,1982-03-15,1982-03-15,1986-07-01,,Dead,Japan,TRUE,
593,,,281,Observed,Male,1,1982-04-14,1982-04-14,1991-02-25,,Dead,Japan,TRUE,
594,,,129,Observed,Male,1,1982-03-23,1982-03-23,1986-09-05,,Dead,Japan,TRUE,
595,,,223,Observed,Unknown,1,1982-03-24,1982-03-24,,1982-04-27,Shipped,Japan,TRUE,
596,,,105,Observed,Male,1,1982-03-26,1982-03-26,1983-08-02,,Dead,Japan,TRUE,
597,,,224,Observed,Unknown,1,1982-03-27,1982-03-27,1982-04-04,,Dead,Japan,TRUE,
598,,,133,Observed,Unknown,1,1982-03-29,1982-03-29,,1982-04-27,Shipped,Japan,TRUE,
599,,,205,Observed,Unknown,1,1982-04-01,1982-04-01,,1982-04-27,Shipped,Japan,TRUE,
600,,,238,Observed,Unknown,1,1982-04-02,1982-04-02,,1982-04-27,Shipped,Japan,TRUE,
601,,,159,Observed,Unknown,1,1982-04-02,1982-04-02,,1982-04-27,Shipped,Japan,TRUE,
602,,,74,Observed,Unknown,1,1982-04-04,1982-04-04,,1982-04-27,Shipped,Japan,TRUE,
603,,,204,Observed,Unknown,1,1982-04-04,1982-04-04,,1982-04-27,Shipped,Japan,TRUE,
604,,,181,Observed,Male,1,1982-04-07,1982-04-07,1983-12-16,,Dead,Japan,TRUE,
605,,,100,Observed,Female,1,1982-04-05,1982-04-05,1991-10-17,,Dead,Japan,TRUE,
606,,,234,Observed,Female,1,1982-04-07,1982-04-07,1982-04-07,,Dead,Japan,TRUE,
607,,,269,Observed,Male,1,1982-04-12,1982-04-12,1996-08-27,,Dead,Japan,TRUE,
608,,,191,Observed,Female,1,1982-04-11,1982-04-11,1982-04-11,,Dead,Japan,TRUE,
609,,,232,Observed,Female,1,1982-04-12,1982-04-12,1994-12-22,,Dead,Japan,TRUE,
610,258,Genetic,171,Genetic,Male,2,1982-04-13,1982-04-13,1993-02-05,,Dead,Japan,TRUE,
611,,,137,Observed,Unknown,1,1982-04-13,1982-04-13,,1982-04-27,Shipped,Japan,TRUE,
612,,,71,Observed,Female,1,1982-03-19,1982-03-19,1983-12-13,,Dead,Japan,TRUE,
613,,,231,Observed,Male,1,1982-04-13,1982-04-13,,1983-03-29,Shipped,Japan,TRUE,
614,,,288,Observed,Female,1,1982-04-14,1982-04-14,1989-08-04,,Dead,Japan,TRUE,
615,,,186,Observed,Unknown,1,1982-04-15,1982-04-15,,1982-04-27,Shipped,Japan,TRUE,
616,,,246,Observed,Unknown,1,1982-04-16,1982-04-16,,1982-04-27,Shipped,Japan,TRUE,
617,,,177,Observed,Male,1,1982-04-16,1982-04-16,1995-07-15,,Dead,Japan,TRUE,
618,,,107,Observed,Unknown,1,1982-04-18,1982-04-18,,1982-04-27,Shipped,Japan,TRUE,
619,,,271,Observed,Male,1,1982-04-19,1982-04-19,1986-01-21,,Dead,Japan,TRUE,
620,,,,,Female,0,1982-04-27,1982-04-27,,1983-03-30,Shipped,Japan,TRUE,
621,,,,,Male,0,1982-04-19,1982-04-19,1989-08-03,,Dead,Japan,TRUE,
622,,,127,Observed,Male,1,1982-04-23,1982-04-23,1983-08-02,,Dead,Japan,TRUE,
623,,,346,Observed,Male,1,1982-04-25,1982-04-25,1997-06-13,,Dead,Japan,TRUE,
624,,,197,Observed,Female,1,1982-04-25,1982-04-25,1989-07-31,,Dead,Japan,TRUE,
625,,,,,Female,0,1982-04-28,1982-04-28,1982-04-28,,Dead,Japan,TRUE,
626,,,235,Observed,Male,1,1982-04-29,1982-04-29,1983-12-12,,Dead,Japan,TRUE,
627,,,,,Female,0,1982-05-19,1982-05-19,,1983-03-30,Shipped,Japan,TRUE,
628,,,248,Observed,Male,1,1982-05-20,1982-05-20,1982-05-20,,Dead,Japan,TRUE,
629,,,325,Observed,Male,1,1982-05-10,1982-05-10,1987-12-21,,Dead,Japan,TRUE,
630,,,270,Observed,Female,1,1982-05-10,1982-05-10,2002-04-17,,Dead,Japan,TRUE,
631,,,299,Observed,Male,1,1982-05-19,1982-05-19,1990-05-01,,Dead,Japan,TRUE,
632,,,225,Observed,Unknown,1,1982-05-20,1982-05-20,1982-05-20,,Dead,Japan,TRUE,
633,,,188,Observed,Hermaphrodite,1,1982-05-26,1982-05-26,1982-06-13,,Dead,Japan,TRUE,
634,,,368,Observed,Female,1,1982-05-26,1982-05-26,1986-10-06,,Dead,Japan,TRUE,
635,,,242,Observed,Female,1,1982-05-25,1982-05-25,1986-11-26,,Dead,Japan,TRUE,
636,,,122,Observed,Female,1,1982-05-28,1982-05-28,,1989-07-27,Shipped,Japan,TRUE,
637,,,80,Observed,Female,1,1982-05-30,1982-05-30,1989-08-02,,Dead,Japan,TRUE,
638,,,151,Observed,Hermaphrodite,1,1982-06-13,1982-06-13,1982-07-13,,Dead,Japan,TRUE,
639,,,75,Observed,Female,1,1982-06-02,1982-06-02,1989-08-01,,Dead,Japan,TRUE,
640,,,386,Observed,Male,1,1982-06-05,1982-06-05,1988-03-23,,Dead,Japan,TRUE,
641,,,163,Observed,Male,1,1982-06-06,1982-06-06,1983-08-02,,Dead,Japan,TRUE,
642,,,326,Observed,Female,1,1982-06-08,1982-06-08,1989-08-03,,Dead,Japan,TRUE,
643,,,360,Observed,Female,1,1982-06-09,1982-06-09,1986-05-30,,Dead,Japan,TRUE,
644,,,76,Observed,Male,1,1982-06-12,1982-06-12,1986-09-22,,Dead,Japan,TRUE,
645,,,119,Observed,Female,1,1982-06-12,1982-06-12,1990-05-15,,Dead,Japan,TRUE,
646,,,378,Observed,Male,1,1982-06-14,1982-06-14,1989-08-03,,Dead,Japan,TRUE,
647,,,332,Observed,Male,1,1982-07-28,1982-07-28,1996-08-27,,Dead,Japan,TRUE,
648,,,,,Female,0,1981-06-15,1981-06-15,1986-07-01,,Dead,Japan,TRUE,
649,,,135,Observed,Male,1,1982-12-10,1982-12-10,1982-12-10,,Dead,Japan,TRUE,
650,,,198,Observed,Unknown,1,1982-01-13,1982-01-13,1983-01-13,,Dead,Japan,TRUE,
651,,,287,Observed,Unknown,1,1983-03-21,1983-03-21,1983-03-21,,Dead,Japan,TRUE,
652,,,75,Observed,Female,1,1983-05-08,1983-05-08,1983-05-23,,Dead,Japan,TRUE,
653,,,226,Observed,Female,1,1983-05-17,1983-05-17,1983-05-18,,Dead,Japan,TRUE,
654,,,425,Observed,Male,1,1983-05-23,1983-05-23,1983-07-05,,Dead,Japan,TRUE,
655,,,409,Observed,Female,1,1983-05-17,1983-05-17,,1984-05-29,Shipped,Japan,TRUE,
656,,,151,Observed,Female,1,1983-04-22,1983-04-22,,1989-07-07,Shipped,Japan,TRUE,
657,,,382,Observed,Male,1,1983-04-28,1983-04-28,1992-11-24,,Dead,Japan,TRUE,
658,,,282,Observed,Hermaphrodite,1,1983-05-17,1983-05-17,1983-10-25,,Dead,Japan,TRUE,
659,,,395,Observed,Male,1,1983-03-28,1983-03-28,1989-08-08,,Dead,Japan,TRUE,
660,,,229,Observed,Male,1,1983-03-28,1983-03-28,1989-08-08,,Dead,Japan,TRUE,
661,,,300,Observed,Male,1,1983-07-07,1983-07-07,,1984-05-29,Shipped,Japan,TRUE,
