EGO ID,SIRE ID,DAM ID,SEX,BIRTH
RVj16,25M,RMj11,M,3
RWh16,REb7,RPg10,F,3
RWi16,FE36,REh10,F,3
RWj16,FE36,RIa11,M,3
RWk16,134M,RYe12,M,3
RWo16,RMg6,438,F,3
RWt16,R110M,RQp14,F,3
RWw16,25395,RMj14,F,3
RYl16,151MX,RAa9,F,3
RYn16,25376,RMg9,M,3
RYq16,253L,RNq13,F,3
RYv16,253L,RSg12,M,3
RZd17,REb7,RTd12,F,3
RZm16,FH21,RAl12,F,3
RZq16,RWk12,ROl11,F,3
RZt16,25M,RCr11,M,3
RZv16,93L,RTs12,F,3
RBj16,R110M,RKj11,F,3
RBq16,93L,RAb14,M,3
RBt16,R110M,RQl11,F,3
RCn16,134M,RNa12,F,3
RDw16,FE58,RCc11,F,3
REl16,206M,RBn13,M,3
REo16,REb7,RFb13,F,3
REs16,25232,RAl14,M,3
REv16,FE36,RJc12,M,3
RGj16,10M,RTj6,M,3
RHs16,93L,REk12,M,3
RHw16,FE58,RGh10,M,3
RIj16,REb7,RRh11,F,3
RIq16,25403,RPr13,M,3
RIr16,25403,RPg11,F,3
RIt16,25395,RAe12,M,3
RIv16,151MX,JDK,F,3
RMp16,174L,RTr12,F,3
RMq16,25403,RPs12,F,3
RMs16,25376,RRy8,F,3
ROr16,FF72,ROp12,F,3
RTj16,REb7,RUy13,M,3
RTk16,REb7,RRc14,M,3
RTw16,FH21,RWn6,M,3
RUr16,FH21,RGg12,F,3
RVv16,R110M,RGl11,F,3
RWs16,REb7,RWh12,M,3
RYk16,25395,RPw12,F,3
RZw16,FE36,RTt13,F,3
RIp16,R110M,RSp11,M,3
RIu16,174M,RDv10,M,3
RJv16,151MX,RQb13,F,3
RNs16,25376,RRn13,F,3
RQu16,R110M,RTz12,M,3
RSk16,FE36,RCn11,F,3
RTt16,25376,RAn11,F,3
RCl16,RYb12,134M,M,3
RAr16,FE36,RUk9,M,3
RFv16,25376,RTy11,F,3
RHj16,253L,REl12,M,3
RTu16,25403,RKr12,M,3
RZo16,FE36,RRo9,F,3
68_14,236_97,154_00,M,3
86_14,236_97,325_00,F,3
RAo16,206M,RGa13,F,3
RJy16,25376,RPr11,M,3
RKj16,25382,RCt11,F,3
RLu16,25395,RPh14,M,3
RRn16,REb7,RYy12,M,3
RSj16,25382,RZj13,F,3
REq16,REb7,RFv12,F,3
RGu16,25391,RUj13,F,3
RLt16,25395,RGy12,M,3
ROm16,25403,RSg11,M,3
RPo16,25395,RRv12,M,3
RDq16,25403,ROl10,F,3
ROu16,25M,RHr12,M,3
RSr16,110M,RHl11,F,3
RMn16,ROp10,RYb14,F,3
